"","Participant","MoveNum","Condition","Item","Row","cleanedReachOut","Task"
"1",101,1,"Observed",14,4,NA,"Image"
"2",101,2,"Observed",4,1,NA,"Image"
"3",101,3,"Observed",5,2,NA,"Image"
"4",101,4,"Observed",4,1,559.52441,"Image"
"5",101,5,"Observed",1,1,509.494209,"Image"
"6",101,6,"Observed",21,6,710.738912,"Image"
"7",101,7,"Observed",14,4,1110.465316,"Image"
"8",101,8,"Observed",24,6,677.542154,"Image"
"9",101,9,"Observed",5,2,1076.378387,"Image"
"10",101,10,"Observed",20,5,660.69068,"Image"
"11",101,11,"Observed",4,1,543.078288,"Image"
"12",101,12,"Observed",16,4,793.847003,"Image"
"13",101,13,"Observed",21,6,727.620102,"Image"
"14",101,14,"Observed",4,1,1176.264161,"Image"
"15",101,15,"Observed",24,6,844.436483,"Image"
"16",101,16,"Observed",20,5,760.696991,"Image"
"17",101,17,"Observed",4,1,509.771677,"Image"
"18",101,18,"Observed",1,1,609.494843,"Image"
"19",101,19,"Observed",12,3,1060.186362,"Image"
"20",101,20,"Observed",2,1,509.736284,"Image"
"21",101,21,"Observed",10,3,826.745257,"Image"
"22",101,22,"Observed",9,3,659.937408,"Image"
"23",101,23,"Observed",11,3,1010.083371,"Image"
"24",101,24,"Observed",24,6,894.402242,"Image"
"25",101,25,"Observed",11,3,593.573608,"Image"
"26",101,26,"Observed",22,6,NA,"Image"
"27",101,27,"Observed",14,4,676.861671,"Image"
"28",101,28,"Observed",23,6,844.326964,"Image"
"29",101,29,"Observed",13,4,593.764264,"Image"
"30",101,30,"Observed",9,3,610.087511,"Image"
"31",101,31,"Observed",23,6,844.275544,"Image"
"32",101,32,"Observed",5,2,859.782078,"Image"
"33",101,33,"Observed",17,5,1010.613934,"Image"
"34",101,34,"Observed",10,3,926.652734,"Image"
"35",101,35,"Observed",18,5,1077.293266,"Image"
"36",101,36,"Observed",19,5,927.130875,"Image"
"37",101,37,"Observed",17,5,577.31113,"Image"
"38",101,38,"Observed",3,1,526.453865,"Image"
"39",101,39,"Observed",22,6,777.623257,"Image"
"40",101,40,"Observed",8,2,710.036725,"Image"
"41",101,41,"Observed",13,4,610.490192,"Image"
"42",101,42,"Observed",5,2,509.875186,"Image"
"43",101,43,"Observed",15,4,NA,"Image"
"44",101,44,"Observed",18,5,760.604501,"Image"
"45",101,45,"Observed",15,4,644.11701,"Image"
"46",101,46,"Observed",2,1,509.629437,"Image"
"47",101,47,"Observed",5,2,526.511963,"Image"
"48",101,48,"Observed",6,2,709.79465,"Image"
"49",101,49,"Observed",14,4,827.147938,"Image"
"50",101,50,"Observed",10,3,676.722101,"Image"
"51",101,51,"Observed",6,2,559.742445,"Image"
"52",101,52,"Observed",14,4,610.502546,"Image"
"53",102,1,"Observed",1,1,NA,"Image"
"54",102,2,"Observed",2,1,508.470117,"Image"
"55",102,3,"Observed",3,1,509.689172,"Image"
"56",102,4,"Observed",4,1,526.583996,"Image"
"57",102,5,"Observed",5,2,509.877156,"Image"
"58",102,6,"Observed",6,2,509.960296,"Image"
"59",102,7,"Observed",4,1,526.323223,"Image"
"60",102,8,"Observed",2,1,509.876488,"Image"
"61",102,9,"Observed",3,1,526.46947,"Image"
"62",102,10,"Observed",6,2,526.657453,"Image"
"63",102,11,"Observed",7,2,510.02741,"Image"
"64",102,12,"Observed",8,2,976.737772,"Image"
"65",102,13,"Observed",9,3,510.151953,"Image"
"66",102,14,"Observed",10,3,526.587001,"Image"
"67",102,15,"Observed",11,3,510.294193,"Image"
"68",102,16,"Observed",12,3,NA,"Image"
"69",102,17,"Observed",5,2,509.944603,"Image"
"70",102,18,"Observed",13,4,960.281021,"Image"
"71",102,19,"Observed",14,4,527.123573,"Image"
"72",102,20,"Observed",9,3,626.638054,"Image"
"73",102,21,"Observed",15,4,527.014055,"Image"
"74",102,22,"Observed",2,1,509.62039,"Image"
"75",102,23,"Observed",16,4,2677.026693,"Image"
"76",102,24,"Observed",13,4,627.039064,"Image"
"77",102,25,"Observed",17,5,510.48251,"Image"
"78",102,26,"Observed",7,2,NA,"Image"
"79",102,27,"Observed",18,5,544.089516,"Image"
"80",102,28,"Observed",19,5,527.4755,"Image"
"81",102,29,"Observed",7,2,926.462324,"Image"
"82",102,30,"Observed",20,5,727.664418,"Image"
"83",102,31,"Observed",18,5,527.348285,"Image"
"84",102,32,"Observed",21,6,544.305881,"Image"
"85",102,33,"Observed",11,3,527.015056,"Image"
"86",102,34,"Observed",22,6,627.406016,"Image"
"87",102,35,"Observed",1,1,NA,"Image"
"88",102,36,"Observed",10,3,510.172654,"Image"
"89",102,37,"Observed",23,6,644.320205,"Image"
"90",102,38,"Observed",11,3,510.109548,"Image"
"91",102,39,"Observed",23,6,594.458789,"Image"
"92",102,40,"Observed",24,6,861.045343,"Image"
"93",102,41,"Observed",10,3,510.137595,"Image"
"94",102,42,"Observed",4,1,509.829409,"Image"
"95",102,43,"Observed",22,6,NA,"Image"
"96",102,44,"Observed",8,2,510.181002,"Image"
"97",102,45,"Observed",21,6,510.83043,"Image"
"98",102,46,"Observed",1,1,509.526565,"Image"
"99",104,1,"Observed",12,3,NA,"Image"
"100",104,2,"Observed",7,2,592.214697,"Image"
"101",104,3,"Observed",16,4,527.274403,"Image"
"102",104,4,"Observed",20,5,2010.736737,"Image"
"103",104,5,"Observed",2,1,742.845542,"Image"
"104",104,6,"Observed",9,3,NA,"Image"
"105",104,7,"Observed",11,3,510.329217,"Image"
"106",104,8,"Observed",9,3,1026.697265,"Image"
"107",104,9,"Observed",8,2,1726.575493,"Image"
"108",104,10,"Observed",4,1,509.712847,"Image"
"109",104,11,"Observed",20,5,644.213211,"Image"
"110",104,12,"Observed",17,5,960.668472,"Image"
"111",104,13,"Observed",21,6,1427.539215,"Image"
"112",104,14,"Observed",17,5,810.517768,"Image"
"113",104,15,"Observed",23,6,1160.86774,"Image"
"114",104,16,"Observed",4,1,NA,"Image"
"115",104,17,"Observed",8,2,526.762541,"Image"
"116",104,18,"Observed",22,6,911.043286,"Image"
"117",104,19,"Observed",8,2,510.03372,"Image"
"118",104,20,"Observed",23,6,777.541603,"Image"
"119",104,21,"Observed",7,2,1093.260624,"Image"
"120",104,22,"Observed",6,2,2309.738957,"Image"
"121",104,23,"Observed",6,2,526.693759,"Image"
"122",104,24,"Observed",20,5,760.79642,"Image"
"123",104,25,"Observed",13,4,NA,"Image"
"124",104,26,"Observed",22,6,NA,"Image"
"125",104,27,"Observed",13,4,510.389319,"Image"
"126",104,28,"Observed",4,1,510.062769,"Image"
"127",104,29,"Observed",2,1,1126.278527,"Image"
"128",104,30,"Observed",3,1,626.262667,"Image"
"129",104,31,"Observed",16,4,560.534045,"Image"
"130",104,32,"Observed",19,5,1610.665083,"Image"
"131",104,33,"Observed",19,5,510.752931,"Image"
"132",104,34,"Observed",22,6,510.931898,"Image"
"133",104,35,"Observed",24,6,1061.066108,"Image"
"134",104,36,"Observed",7,2,1509.830378,"Image"
"135",104,37,"Observed",10,3,943.415435,"Image"
"136",104,38,"Observed",2,1,509.811346,"Image"
"137",104,39,"Observed",5,2,509.833383,"Image"
"138",104,40,"Observed",12,3,510.350253,"Image"
"139",104,41,"Observed",1,1,526.258026,"Image"
"140",104,42,"Observed",3,1,526.379897,"Image"
"141",104,43,"Observed",15,4,577.045167,"Image"
"142",104,44,"Observed",14,4,693.58664,"Image"
"143",104,45,"Observed",18,5,793.94354,"Image"
"144",104,46,"Observed",12,3,510.215693,"Image"
"145",104,47,"Observed",16,4,527.163216,"Image"
"146",106,1,"Observed",1,1,NA,"Image"
"147",106,2,"Observed",2,1,508.358957,"Image"
"148",106,3,"Observed",3,1,509.579686,"Image"
"149",106,4,"Observed",4,1,526.639178,"Image"
"150",106,5,"Observed",5,2,542.755075,"Image"
"151",106,6,"Observed",6,2,526.36438,"Image"
"152",106,7,"Observed",7,2,526.399773,"Image"
"153",106,8,"Observed",5,2,526.178066,"Image"
"154",106,9,"Observed",8,2,509.933284,"Image"
"155",106,10,"Observed",9,3,626.485218,"Image"
"156",106,11,"Observed",10,3,NA,"Image"
"157",106,12,"Observed",11,3,529.262277,"Image"
"158",106,13,"Observed",4,1,526.090584,"Image"
"159",106,14,"Observed",12,3,510.13596,"Image"
"160",106,15,"Observed",13,4,509.997726,"Image"
"161",106,16,"Observed",2,1,692.782906,"Image"
"162",106,17,"Observed",14,4,560.206896,"Image"
"163",106,18,"Observed",2,1,526.113623,"Image"
"164",106,19,"Observed",15,4,526.848198,"Image"
"165",106,20,"Observed",16,4,510.330288,"Image"
"166",106,21,"Observed",8,2,526.538675,"Image"
"167",106,22,"Observed",17,5,710.473463,"Image"
"168",106,23,"Observed",3,1,509.452472,"Image"
"169",106,24,"Observed",18,5,810.481443,"Image"
"170",106,25,"Observed",4,1,526.236164,"Image"
"171",106,26,"Observed",19,5,593.845067,"Image"
"172",106,27,"Observed",9,3,509.969345,"Image"
"173",106,28,"Observed",20,5,510.587055,"Image"
"174",106,29,"Observed",6,2,509.800393,"Image"
"175",106,30,"Observed",20,5,560.723102,"Image"
"176",106,31,"Observed",21,6,577.532504,"Image"
"177",106,32,"Observed",4,1,NA,"Image"
"178",106,33,"Observed",9,3,526.541346,"Image"
"179",106,34,"Observed",21,6,1060.671849,"Image"
"180",106,35,"Observed",22,6,594.144239,"Image"
"181",106,36,"Observed",17,5,NA,"Image"
"182",106,37,"Observed",23,6,1160.860467,"Image"
"183",106,38,"Observed",16,4,510.451827,"Image"
"184",106,39,"Observed",24,6,694.136526,"Image"
"185",106,40,"Observed",4,1,509.598719,"Image"
"186",106,41,"Observed",16,4,NA,"Image"
"187",106,42,"Observed",12,3,510.183039,"Image"
"188",106,43,"Observed",19,5,527.140692,"Image"
"189",106,44,"Observed",11,3,576.645005,"Image"
"190",106,45,"Observed",13,4,510.194392,"Image"
"191",106,46,"Observed",1,1,675.931766,"Image"
"192",106,47,"Observed",12,3,510.269185,"Image"
"193",106,48,"Observed",11,3,526.888933,"Image"
"194",106,49,"Observed",8,2,526.625488,"Image"
"195",106,50,"Observed",11,3,526.835844,"Image"
"196",106,51,"Observed",12,3,510.165677,"Image"
"197",106,52,"Observed",18,5,527.084931,"Image"
"198",106,53,"Observed",3,1,509.611407,"Image"
"199",106,54,"Observed",23,6,644.019178,"Image"
"200",106,55,"Observed",22,6,510.651497,"Image"
"201",106,56,"Observed",3,1,526.284245,"Image"
