Condition,Voice_Sex,Voice,duration_ms,pitch_mean,pitch_stdev,intonation,glide,formant_dispersion,HNR,jitter,shimmer,alpha_ratio,Trustworthiness_VAS,Dominance_VAS,Attractiveness_VAS,Trustworthiness_z,Dominance_z,Attractiveness_z
AS,Female,ARD22,3144.761905,204.9517982,48.31310507,424.3934471,-53.94738626,1036.077668,10.97958803,0.012931021,0.043453628,1.892890321,159.45,150.61666666666667,129.15,-0.8299047087634975,-0.7203005993423193,-0.8905828805790522
AS,Female,CFY08,2942.834467,189.0447423,46.43035705,335.050005,-43.80154139,985.68728840000006,10.70192939,0.01652277,0.04959247,1.824599656,296.7,292.85,257.0833333333333,0.3728572702502311,0.4080701167227961,0.31732488962412564
AS,Female,CMN17,3601.043084,220.8172792,57.49415433,361.2087991,-167.8607181,1041.493726,13.41423474,0.009341507,0.037386488,1.484724065,284.15,368.85,209.13333333333333,0.2204551334766649,1.0425819139322787,-0.18508353158329002
AS,Female,DGA30,3537.709751,189.9726571,35.03533064,239.928404,-142.6872157,1007.784618,11.65893482,0.01036586,0.033770506,1.603813482,291.53333333333336,347.56666666666666,241.6,0.29864166552452925,0.8954625325421298,0.20383782500641445
AS,Female,DKY26,3192.993197,228.0978413,47.29729571,329.3778445,-124.7778126,1058.093747,12.76986011,0.013305049,0.043210597,1.772006851,260.45,207.48333333333332,265.6666666666667,0.10194377499713757,-0.26628704252573254,0.41840680271449027
AS,Female,JJE21,3290.272109,204.9801242,68.3008366,522.4615966,-146.819397,988.3593265,10.8640852,0.00998845,0.026418678,1.887036445,304.25,235.23333333333332,245.66666666666666,0.4387360902100012,-0.06226906373198783,0.19726484895310692
AS,Female,JRA04,3373.786848,207.4582907,68.21719548,465.0153642,-39.57811721,996.7744891,11.8394119,0.010960587,0.039111138,1.730433118,296.55,244.78333333333333,263.8833333333333,0.3620910180154084,0.04440363332693649,0.37945003464883004
AS,Female,KDE26,3300.47619,224.6545142,72.67852518,407.5338122,-39.37714532,963.9634598,11.70778387,0.007858004,0.03522663,1.629184909,305.8333333333333,352.45,272.4,0.4667337648591292,0.9081807257404716,0.45652115003226645
AS,Female,MKY08,2997.55102,193.9008801,41.24487031,339.4622978,-64.75057821,996.4536939,10.68481027,0.011629922,0.041205782,1.711604842,295.55,322.03333333333336,225.78333333333333,0.32051670492091566,0.6571979970876881,0.022782263151257417
AS,Female,NGE07,3449.342404,206.6762978,33.55837904,214.4337199,-40.02505768,1032.956119,12.0060731,0.008952541,0.041539798,2.038613099,327.6666666666667,240.26666666666668,335.05,0.676340612762044,0.02492090764764724,1.098205489963622
